Geographic Area Names,Total Female Age 18-44 years,"Total AmericanIndianORAlaskaNative Female, 18-44","Total BlackorAfricanAmerican Female, 18-44","Total HispanicORlatino Female, 18-44","Total White Female, 18-44","Total Asian Female, 18-44","Total NativeHawaiin&OtherPacificIslander Female, 18-44"
"Block Group 3, Census Tract 9605, Ben Hill County, Georgia",108,0.0,35.0,8.0,65.0,0.0,0.0
"Block Group 4, Census Tract 9605, Ben Hill County, Georgia",185,0.0,61.0,13.0,111.0,0.0,0.0
"Block Group 5, Census Tract 9605, Ben Hill County, Georgia",40,0.0,13.0,3.0,24.0,0.0,0.0
"Block Group 1, Census Tract 9701, Berrien County, Georgia",86,0.0,35.0,4.0,47.0,0.0,0.0
"Block Group 2, Census Tract 9701, Berrien County, Georgia",402,0.0,161.0,20.0,221.0,0.0,0.0
"Block Group 1, Census Tract 9702, Berrien County, Georgia",432,4.0,28.0,41.0,360.0,0.0,-1.0
"Block Group 2, Census Tract 9702, Berrien County, Georgia",422,3.0,27.0,40.0,351.0,0.0,1.0
"Block Group 1, Census Tract 9703, Berrien County, Georgia",70,0.0,4.0,3.0,61.0,2.0,0.0
"Block Group 2, Census Tract 9703, Berrien County, Georgia",334,0.0,20.0,14.0,291.0,9.0,0.0
"Block Group 3, Census Tract 9703, Berrien County, Georgia",238,0.0,14.0,10.0,207.0,6.0,1.0
"Block Group 1, Census Tract 9704, Berrien County, Georgia",152,8.0,37.0,8.0,99.0,0.0,0.0
"Block Group 2, Census Tract 9704, Berrien County, Georgia",319,17.0,78.0,17.0,208.0,0.0,-1.0
"Block Group 3, Census Tract 9704, Berrien County, Georgia",288,15.0,70.0,15.0,187.0,0.0,1.0
"Block Group 1, Census Tract 9705, Berrien County, Georgia",308,0.0,22.0,0.0,284.0,1.0,1.0
"Block Group 2, Census Tract 9705, Berrien County, Georgia",466,0.0,34.0,0.0,430.0,2.0,0.0
"Block Group 1, Census Tract 9706, Berrien County, Georgia",366,0.0,6.0,7.0,304.0,48.0,1.0
"Block Group 2, Census Tract 9706, Berrien County, Georgia",509,0.0,9.0,10.0,423.0,67.0,0.0
"Block Group 3, Census Tract 9706, Berrien County, Georgia",152,0.0,3.0,3.0,126.0,20.0,0.0
"Block Group 1, Census Tract 101, Bibb County, Georgia",212,0.0,212.0,0.0,0.0,0.0,0.0
"Block Group 2, Census Tract 101, Bibb County, Georgia",228,0.0,228.0,0.0,0.0,0.0,0.0
"Block Group 1, Census Tract 102, Bibb County, Georgia",114,0.0,59.0,2.0,52.0,0.0,1.0
"Block Group 2, Census Tract 102, Bibb County, Georgia",266,0.0,139.0,6.0,121.0,0.0,0.0
"Block Group 3, Census Tract 102, Bibb County, Georgia",216,0.0,113.0,5.0,99.0,0.0,-1.0
"Block Group 1, Census Tract 103, Bibb County, Georgia",276,57.0,185.0,0.0,33.0,0.0,1.0
"Block Group 1, Census Tract 104, Bibb County, Georgia",121,0.0,115.0,0.0,6.0,0.0,0.0
"Block Group 2, Census Tract 104, Bibb County, Georgia",43,0.0,41.0,0.0,2.0,0.0,0.0
"Block Group 3, Census Tract 104, Bibb County, Georgia",29,0.0,28.0,0.0,1.0,0.0,0.0
"Block Group 4, Census Tract 104, Bibb County, Georgia",159,0.0,152.0,0.0,7.0,0.0,0.0
"Block Group 1, Census Tract 105, Bibb County, Georgia",1404,0.0,851.0,30.0,376.0,148.0,-1.0
"Block Group 2, Census Tract 105, Bibb County, Georgia",116,0.0,70.0,2.0,31.0,12.0,1.0
"Block Group 1, Census Tract 108, Bibb County, Georgia",587,0.0,230.0,0.0,357.0,0.0,0.0
"Block Group 1, Census Tract 110, Bibb County, Georgia",56,0.0,42.0,2.0,11.0,0.0,1.0
"Block Group 2, Census Tract 110, Bibb County, Georgia",619,0.0,469.0,21.0,123.0,6.0,0.0
"Block Group 3, Census Tract 110, Bibb County, Georgia",65,0.0,49.0,2.0,13.0,1.0,0.0
"Block Group 4, Census Tract 110, Bibb County, Georgia",140,0.0,106.0,5.0,28.0,1.0,0.0
"Block Group 5, Census Tract 110, Bibb County, Georgia",33,0.0,25.0,1.0,7.0,0.0,0.0
"Block Group 1, Census Tract 111, Bibb County, Georgia",281,0.0,281.0,0.0,0.0,0.0,0.0
"Block Group 2, Census Tract 111, Bibb County, Georgia",185,0.0,185.0,0.0,0.0,0.0,0.0
