Geographic Area Names,Geography,Income in the past 12 months below poverty level!!Female!!18 to 44 years,Income in the past 12 months at or above poverty level!!Female!!18 to 44 years
"Block Group 2, Census Tract 134.11, Bibb County, Georgia",1400000US13021013411,206.0,636.0
"Block Group 1, Census Tract 135.02, Bibb County, Georgia",1400000US13021013502,15.0,25.0
"Block Group 2, Census Tract 135.02, Bibb County, Georgia",1400000US13021013502,117.0,206.0
"Block Group 1, Census Tract 135.03, Bibb County, Georgia",1400000US13021013503,305.0,589.0
"Block Group 1, Census Tract 135.04, Bibb County, Georgia",1400000US13021013504,41.0,361.0
"Block Group 2, Census Tract 135.04, Bibb County, Georgia",1400000US13021013504,59.0,525.0
"Block Group 3, Census Tract 135.04, Bibb County, Georgia",1400000US13021013504,14.0,123.0
"Block Group 4, Census Tract 135.04, Bibb County, Georgia",1400000US13021013504,50.0,444.0
"Block Group 1, Census Tract 136.03, Bibb County, Georgia",1400000US13021013603,74.0,361.0
"Block Group 2, Census Tract 136.03, Bibb County, Georgia",1400000US13021013603,40.0,193.0
"Block Group 1, Census Tract 136.04, Bibb County, Georgia",1400000US13021013604,34.0,227.0
"Block Group 2, Census Tract 136.04, Bibb County, Georgia",1400000US13021013604,47.0,315.0
"Block Group 3, Census Tract 136.04, Bibb County, Georgia",1400000US13021013604,86.0,574.0
"Block Group 1, Census Tract 136.05, Bibb County, Georgia",1400000US13021013605,46.0,332.0
"Block Group 2, Census Tract 136.05, Bibb County, Georgia",1400000US13021013605,59.0,430.0
